Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-011-010121-002;KS INCARTO;PLPA
PLPA-PR-011-010121-003;KS Imbut. IKI;PLPA
PLPA-PR-011-010121-004;KS Kartoniarki Zambelli T36/T72 1;PLPA
PLPA-PR-011-010121-005;KS Urządzenia przygotowania półproduktu;PLPA
PLPA-PR-011-010121-006;KS toys mix;PLPA
PLPA-PR-011-010121-007;KS Dozowniki Odrzywołek;PLPA
PLPA-PR-011-010121-008;FC Formy Yuppieman G35;PLPA
PLPA-PR-011-010121-009;FC Pakowanie GR-08 Yuppieman G35;PLPA
PLPA-PR-011-010121-010;KS Kartoniarki Zambelli T36/T72 2;PLPA
PLPA-PR-011-010121-011;KS Kartoniarki Zambelli T36/T72 3;PLPA
PLPA-PR-011-010121-012;KS Kartoniarki Zambelli T36/T72 4;PLPA
PLPA-PR-011-010121-015;KS Strefa transportu niespodzianek;PLPA
PLPA-PR-011-010122;Surprise Cleaning;PLPA
PLPA-PR-011-010122-001;KS Czyszczenie Niespodzianek;PLPA
PLPA-PR-011-010123;Figura Cava;PLPA
PLPA-PR-011-010123-001;FC Modelator Aasted;PLPA
PLPA-PR-011-010123-002;FC Formy G110;PLPA
PLPA-PR-011-010123-003;FC Formy G55;PLPA
PLPA-PR-011-010123-004;FC formy G15 ->NIEAKTYWNY!;PLPA
PLPA-PR-011-010123-005;FC Formy G75;PLPA
PLPA-PR-011-010123-006;FC Formy G160;PLPA
PLPA-PR-011-010123-007;FC Urządzenia przygotowania półproduktu;PLPA
PLPA-PR-011-010123-008;FC Pakowanie IFC T75 1;PLPA
PLPA-PR-011-010123-009;FC Pakowanie IFC T75 2;PLPA
PLPA-PR-011-010123-010;FC Czyszczenie;PLPA
PLPA-PR-011-010123-011;FC Pakowanie IFC T75 3;PLPA
PLPA-PR-011-010123-012;FC Formy G15;PLPA
PLPA-PR-011-010123-013;FC Formy Birillone G140;PLPA
PLPA-PR-011-010123-014;FC Birillone packaging - Nieczynne;PLPA
PLPA-PR-011-010123-015;FC Formy G138;PLPA
