Tydzień;Tydzień;Rok;Od;Do;Linia;Rodzina;QL (TOT) Akt;QL (TOT) Pln;% Dvt Produk.;Zmiana Czysty;Zmiana Prg;Q/Zm. Standard;Q/Zm. Akt;Q/Zm. Docel;Q/CPK Akt;Q/CPK Docel;Ope/LN Sh. Akt;Ope/LN Sh. Docel;Ope/EL Sh. Akt;Ope/EL Sh. Docel;G/QL Akt;G/QL Docel;% S.C. Eff;% S.C. Std.;% SR Eff;% SR Std.;% SF/SP Eff;% SF/SP Std.;Godz. Prac. Akt;Godz./Prac. Docel;% Eff LINIA Eff;% Eff LINIA Obb;% Eff Prac. Eff;% Eff Prac. Obb;% Zysku Eff;% Zysku Obb
W24;24;2025;09.06.2025;15.06.2025;10709;1524;50,17;50,00;0,33;4,74;4,73;13,22;10,58;10,58;10,58;10,58;10,98;11,00;0,17;0,18;8,43;8,45;0,80;0,80;0,00;0,00;0,00;0,00;423,00;423,96;80,05;80,04;80,22;80,04;80,05;80,04
W24;24;2025;09.06.2025;15.06.2025;10716;1506;0,00;43,00;-100,00;0,00;1,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,91
W24;24;2025;09.06.2025;15.06.2025;10716;1509;0,00;9,99;-100,00;0,00;0,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,87
W24;24;2025;09.06.2025;15.06.2025;10716;1510;10,28;9,99;2,94;0,35;0,34;36,72;29,41;29,40;29,41;29,40;7,87;8,00;0,00;0,00;2,14;2,18;0,99;0,10;0,00;0,00;0,00;0,00;22,00;22,38;80,09;80,07;81,46;80,07;80,09;80,07
W24;24;2025;09.06.2025;15.06.2025;10716;1526;717,69;754,99;-4,94;25,53;26,86;35,64;28,11;28,11;28,11;28,11;7,00;7,00;0,00;0,00;1,99;1,99;0,00;0,10;0,00;0,00;0,00;0,00;1429,00;1429,69;78,88;78,87;78,91;78,87;78,88;78,87
W24;24;2025;09.06.2025;15.06.2025;10717;1519;892,74;1162,06;-23,18;19,31;19,37;77,11;46,24;60,00;46,24;60,00;29,29;33,01;2,62;2,61;5,52;4,75;5,00;5,01;0,00;0,00;0,00;0,00;4929,00;4239,78;59,96;77,81;66,93;77,81;59,96;77,81
W24;24;2025;09.06.2025;15.06.2025;10718;1526;197,05;227,02;-13,20;6,91;7,96;35,64;28,51;28,51;28,51;28,51;6,98;7,00;0,00;0,00;1,96;1,96;0,10;0,10;0,00;0,00;0,00;0,00;386,00;387,00;80,00;80,00;80,21;80,00;80,00;80,00
W24;24;2025;09.06.2025;15.06.2025;10721;1516;146,55;145,00;1,07;15,43;15,26;11,75;9,50;9,50;9,50;9,50;9,38;9,39;0,22;0,23;8,09;8,09;0,50;0,50;0,00;0,00;0,00;0,00;1185,00;1185,98;80,85;80,85;80,92;80,85;80,85;80,85
W24;24;2025;09.06.2025;15.06.2025;10799;1503;1123,18;1249,00;-10,07;4,70;5,20;271,43;238,97;240,00;238,97;240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88,04;88,42;0,00;0,00;88,04;88,42
W25;25;2025;16.06.2025;22.06.2025;10703;1503;3372,60;3383,92;-0,34;14,50;14,10;271,44;232,59;240,00;232,59;240,00;48,38;49,96;4,16;4,37;1,81;1,81;1,11;1,21;0,74;0,70;11,79;12,06;6095,00;6107,33;85,69;88,42;88,60;88,42;85,69;88,42
W25;25;2025;16.06.2025;22.06.2025;10709;1524;145,15;144,99;0,11;13,72;13,70;13,22;10,58;10,58;10,58;10,58;11,00;11,00;0,17;0,18;8,45;8,45;0,80;0,80;0,00;0,00;0,00;0,00;1226,00;1226,64;80,05;80,04;80,08;80,04;80,05;80,04
W25;25;2025;16.06.2025;22.06.2025;10716;1506;53,08;53,00;0,15;1,70;1,69;39,17;31,30;31,30;31,30;31,30;7,96;8,00;0,00;0,00;2,04;2,05;0,10;0,10;0,00;0,00;0,00;0,00;108,00;108,54;79,91;79,91;80,31;79,91;79,91;79,91
W25;25;2025;16.06.2025;22.06.2025;10716;1509;20,37;20,00;1,83;0,73;0,71;35,64;28,11;28,11;28,11;28,11;6,90;7,00;0,00;0,00;1,96;1,99;0,10;0,10;0,00;0,00;0,00;0,00;40,00;40,57;78,87;78,87;80,00;78,87;78,87;78,87
W25;25;2025;16.06.2025;22.06.2025;10716;1526;130,35;130,02;0,26;4,64;4,63;35,64;28,11;28,11;28,11;28,11;6,98;7,00;0,00;0,00;1,99;1,99;0,10;0,10;0,00;0,00;0,00;0,00;259,00;259,67;78,88;78,87;79,07;78,87;78,88;78,87
W25;25;2025;16.06.2025;22.06.2025;10717;1519;798,15;843,15;-5,34;14,00;14,05;77,11;57,01;60,00;57,01;60,00;31,37;33,01;2,47;2,61;4,75;4,75;5,00;5,01;0,00;0,00;0,00;0,00;3790,00;3790,55;73,93;77,81;77,82;77,81;73,93;77,81
W25;25;2025;16.06.2025;22.06.2025;10718;1526;30,55;29,99;1,86;1,07;1,05;35,64;28,52;28,51;28,52;28,51;7,00;7,00;0,00;0,00;1,96;1,96;0,10;0,10;0,00;0,00;0,00;0,00;60,00;60,00;80,00;80,00;80,00;80,00;80,00;80,00
