Rdz.;Oznaczenie
S303;Internal Orders Trade Finland
S304;Internal Orders Other Costs Denmark
S310;Internal Orders Investment Denmark
S320;Internal Order Statistical Denmark
S921;Internal Order Statistical C&D Singapore
S960;SG Manual R/3 order (copacker) FAP
S962;SG Co-packer production via APO FAP
SD01;Harmonogram wysyłki
SE01;Internal Orders Product SWEDEN
SE02;Internal Orders Marketing SWEDEN
SE03;Internal Orders Trade  SWEDEN
SE04;Internal Orders Other Costs Canada
SE07;Internal Orders Marketing Sweden
SE10;Internal Orders Investment Canada
SE20;Internal Order Statistical Canada
SG01;Internal Orders Product Australia
SG02;Internal Orders Marketing Australia
SG03;Internal Orders Trade Australia
SG04;Internal Orders Other costs Australia
SG10;Internal Order Investment Singapore
SG20;Internal Order Statistical Australia
SK01;Internal Orders Product Slovakia
SK02;Internal Orders Marketing Slovakia
SK03;Internal Orders Trade Slovakia
SK04;Internal Orders Other Costs  Slovakia
SK10;Internal Orders Investment Slovakia
SK20;Internal Order Statistical Slovakia
T104;Internal Orders Other Costs Findik
T110;Internal Orders Investment Findik
T120;Internal Order Statistical Findik
T150;Internal Order Copacking Ferrero Findik
T151;Internal Order Copacking Ferrero Findik
THM1;Breakdown emergency
THM2;WO - Preventive Maintenance Scheduled
THM4;WO - Improvement Maintenance
THMA;WO - Others Cost
TR01;
TR02;
TR03;
TR04;
TR07;
TR10;
TR20;Inte
TR21;Internal Order Statistical Turkey
TR60;USA Manual R/3 order (copacker - normal)
TR61;USA Normal production from APO
TR62;IT Co-packer production via APO
TR64;IT Ordini di Test UPS
TR65;AU Zlec. przepakow. z model.produkc.
TR68;IT Ordini di Test UPS
TRM1;WO-Corrective Maintenance
TRM2;WO-Preventive Maintenance (scheduled)
TRM3;WO-Preventative Mainten (Conditional)
TRM4;WO-Improvement Maintenance
TRM5;WO-Shut Down Maintenance
TRM6;WO-Corrective Maintenance (Postponed)
TRM7;WO-Operational Assis during prod. time
TRM8;WO-Operational Ass during no prod time
TRM9;WO-Unpredictable Cost
TRMA;WO-Others cost
TRMB;WO-New Investments (Commesse)
TRMF;WO-Building works
TRMK;WO-Non - Depreciable
TW01;Internal Orders Product Australia
TW02;Internal Orders Marketing Australia
TW03;Internal Orders Trade Australia
TW04;Internal Orders Other costs Australia
