Urządzenie;Oznaczenie;Ważne do;Zakład planow.
10079879;2-Nutella T750-Zespół transporterów lini;31.12.9999;PLPA
10079880;2-Drukarka atramentowa z wyposażeniem;31.12.9999;PLPA
10079881;2-Nutella T750-Drukarka;31.12.9999;PLPA
10079882;2-Nutella T750-Etykieciarka;31.12.9999;PLPA
10079883;1-Media;31.12.9999;PLPA
10079884;2-Nutella T750-Szafa elek;31.12.9999;PLPA
10079885;2-Nutella T750-Zasilanie elektryczne;31.12.9999;PLPA
10079886;2-Nutella T750-Powietrze;31.12.9999;PLPA
10079887;1-System paletyzacji IHS NUTELLA;31.12.9999;PLPA
10079888;2-Linia paletyzująca IHS NUTELLA;31.12.9999;PLPA
10079889;2-Transportery do paletyzacji T200;31.12.9999;PLPA
10079890;2-Transportery do paletyzacji T400;31.12.9999;PLPA
10079891;2-Transportery do paletyzacji T750;31.12.9999;PLPA
10079892;1-Piec wafla dolnego;31.12.9999;PLPA
10079893;1-Zbiornik olejowy przy piecu WD;31.12.9999;PLPA
10079894;2-Zbiornik do ciasta;31.12.9999;PLPA
10079895;1-Piec wafla górnego;31.12.9999;PLPA
10079896;1-Zbiornik olejowy przy piecu WG;31.12.9999;PLPA
10079897;2-Prasa ślimakowa do wafli L=2784;31.12.9999;PLPA
10079898;2-Przenośnik ślimakowy poziomy korytowy;31.12.9999;PLPA
10079899;2-Linia KBueno - Nawilżacz nowy;31.12.9999;PLPA
10079900;2-Linia KBueno - Nawilżacz stary;31.12.9999;PLPA
10079901;1-Piłki boczne za piecem;31.12.9999;PLPA
10079902;2-KBW-Piłki tnące z młynkiem;31.12.9999;PLPA
10079903;2-KBW-Piłki tnące z młynkiem;31.12.9999;PLPA
10079904;2-KBW-Transporter taśmowy;31.12.9999;PLPA
10079905;2-KBW-Transporter taśmowy;31.12.9999;PLPA
10079906;2-KBW-Transporter taśmowy;31.12.9999;PLPA
10079907;2-KBW-Transporter taśmowy;31.12.9999;PLPA
10079908;1-Transportery;31.12.9999;PLPA
10079909;2-Piłki tnące z młynkiem -górna;31.12.9999;PLPA
10079910;2-Piłki tnące z młynkiem- dolna;31.12.9999;PLPA
10079911;1-Transporter polikord WG przy piłce 2;31.12.9999;PLPA
10079912;1-Transporter polikord WD przy piłce 2;31.12.9999;PLPA
10079913;1-Transporter winda WG;31.12.9999;PLPA
10079914;1-Transporter winda WD;31.12.9999;PLPA
10079915;1-Transporter polikord WG przed nawilżac;31.12.9999;PLPA
10079916;1-Transporter polikord WD przed nawilżac;31.12.9999;PLPA
10079917;1-Zespół maszyn dozujących/ Modelator;31.12.9999;PLPA
10079918;1-Oblewarka;31.12.9999;PLPA
10079919;2-Tunel 1;31.12.9999;PLPA
10079920;2-Tunel 2;31.12.9999;PLPA
10079921;2-Maszyna do dekoracji batona;31.12.9999;PLPA
10079922;1-Temperówka do gorzkiej czekolady;31.12.9999;PLPA
10079923;2-Wanna z płaszczem ciepłej wody i śl;31.12.9999;PLPA
10079924;2-Transporter do odzysku posypki;31.12.9999;PLPA
10079925;2-Lej zasypowy do posypki 1;31.12.9999;PLPA
10079926;1-Transporter taśmowy -dolny do;31.12.9999;PLPA
10079927;2-Transporter taśmowy przy oblew;31.12.9999;PLPA
10079928;2-Lej zasypowy do posypki 2;31.12.9999;PLPA
10079929;1-Oblewarka 1;31.12.9999;PLPA
10079930;1-Temperówka dekoru;31.12.9999;PLPA
10079931;2-Zbiornik buforowy do dekoru;31.12.9999;PLPA
10079932;1-Zbiornik polewy B9208 1;31.12.9999;PLPA
10079933;2-Maszyna do dekorowania produkt;31.12.9999;PLPA
10079934;2-Linia KBW Maszyna do dekoracji bato;31.12.9999;PLPA
10079935;1-Oblewarka 2;31.12.9999;PLPA
10079936;1-Temperówka do polewy /do oblew;31.12.9999;PLPA
10079937;1-Temperówka do polewy /do oblew;31.12.9999;PLPA
10079938;1-Tunele chłodnicze;31.12.9999;PLPA
10079939;2-Transporter taśmowy tunelu ch;31.12.9999;PLPA
10079940;1-Tunel chłodnia 2;31.12.9999;PLPA
10079941;2-Tunel chłodniczy;31.12.9999;PLPA
10079942;1-Tunel chłodnia 3;31.12.9999;PLPA
10079943;2-Zespół chłodniczy/gruppo tratt;31.12.9999;PLPA
10079944;1-Tunel chłodnia 1;31.12.9999;PLPA
10079945;1-KBW-Urządzenie podajace produkty w rze;31.12.9999;PLPA
10079946;1-Linia KBueno - Fazator-układ liniujacy;31.12.9999;PLPA
10079947;2-Maszyna foliująca Flowpack 4;31.12.9999;PLPA
10079948;2-Banderolownica 1;31.12.9999;PLPA
10079949;1-Linia KBW Urządzenie do łączenia pr;31.12.9999;PLPA
10079950;2-Banderolownica 2;31.12.9999;PLPA
